task,layer,position,mean_auroc,std_auroc,n_seeds,n_train,n_test
B,27,entity,0.49999999999999994,0.0,3,640,80
B,27,final,1.0,0.0,3,640,80
B,28,entity,0.49999999999999994,0.0,3,640,80
B,28,final,1.0,0.0,3,640,80
B,29,entity,0.49999999999999994,0.0,3,640,80
B,29,final,1.0,0.0,3,640,80
B,30,entity,0.49999999999999994,0.0,3,640,80
B,30,final,1.0,0.0,3,640,80
B,31,entity,0.5,0.0,3,640,80
B,31,final,1.0,0.0,3,640,80
B,32,entity,0.5,0.0,3,640,80
B,32,final,1.0,0.0,3,640,80
B,33,entity,0.5,0.0,3,640,80
B,33,final,1.0,0.0,3,640,80
B,34,entity,0.49999999999999994,0.0,3,640,80
B,34,final,1.0,0.0,3,640,80
B,35,entity,0.49999999999999994,0.0,3,640,80
B,35,final,1.0,0.0,3,640,80
B,36,entity,0.49999999999999994,0.0,3,640,80
B,36,final,1.0,0.0,3,640,80
B,37,entity,0.49999999999999994,0.0,3,640,80
B,37,final,1.0,0.0,3,640,80
B,38,entity,0.49999999999999994,0.0,3,640,80
B,38,final,1.0,0.0,3,640,80
B,39,entity,0.49999999999999994,0.0,3,640,80
B,39,final,1.0,0.0,3,640,80
B,40,entity,0.5,0.0,3,640,80
B,40,final,1.0,0.0,3,640,80
B,41,entity,0.49999999999999994,0.0,3,640,80
B,41,final,1.0,0.0,3,640,80
B,42,entity,0.5,0.0,3,640,80
B,42,final,1.0,0.0,3,640,80
B,43,entity,0.5,0.0,3,640,80
B,43,final,1.0,0.0,3,640,80
B,44,entity,0.5,0.0,3,640,80
B,44,final,1.0,0.0,3,640,80
B,45,entity,0.5,0.0,3,640,80
B,45,final,1.0,0.0,3,640,80
B,46,entity,0.5,0.0,3,640,80
B,46,final,1.0,0.0,3,640,80
B,47,entity,0.49999999999999994,0.0,3,640,80
B,47,final,1.0,0.0,3,640,80
B,48,entity,0.5,0.0,3,640,80
B,48,final,1.0,0.0,3,640,80
B,49,entity,0.5,0.0,3,640,80
B,49,final,1.0,0.0,3,640,80
B,50,entity,0.5,0.0,3,640,80
B,50,final,1.0,0.0,3,640,80
B,51,entity,0.49999999999999994,0.0,3,640,80
B,51,final,1.0,0.0,3,640,80
B,52,entity,0.5,0.0,3,640,80
B,52,final,1.0,0.0,3,640,80
B,53,entity,0.49999999999999994,0.0,3,640,80
B,53,final,1.0,0.0,3,640,80
B,54,entity,0.5,0.0,3,640,80
B,54,final,1.0,0.0,3,640,80
B,55,entity,0.5,0.0,3,640,80
B,55,final,1.0,0.0,3,640,80
B,56,entity,0.5,0.0,3,640,80
B,56,final,1.0,0.0,3,640,80
